YEAR,LOCATION,AREA,RAINFALL,TEMPERATURE,Soil type,IRRIGATION,YEILDS,HUMIDITY,CROPS,PRICE,SEASON,YEAR_GROUP,RAINFALL_GROUPS
2004,Kasaragodu,93,256.3,40.0,Alluvial,Drip,231.00,55.0,Coconut,238542,Kharif,Y1,Low
2004,Kasaragodu,7415,256.3,40.0,Alluvial,Drip,18951.00,56.0,Coconut,1516,Kharif,Y1,Low
2004,Kasaragodu,40107,256.3,40.0,Alluvial,Drip,110579.00,54.0,Coconut,57259,Kharif,Y1,Low
2004,Kasaragodu,86,257.4,41.0,Alluvial,Drip,221.00,58.0,Coconut,234779,Kharif,Y1,Low
2004,Kasaragodu,6254,257.4,41.0,Alluvial,Drip,15362.00,58.0,Coconut,1493,Kharif,Y1,Low
2004,Kasaragodu,40197,257.4,41.0,Alluvial,Drip,120373.00,59.0,Coconut,64409,Kharif,Y1,Low
2004,Raichur,86,259.6,43.0,Red,Drip,283.00,52.0,Coconut,24848,Kharif,Y1,Low
2004,Raichur,5797,259.6,43.0,Red,Drip,17690.00,51.0,Coconut,761,Kharif,Y1,Low
2004,Gulbarga,26,256.3,40.0,Black,Basin,98.00,57.0,Coconut,1493,Zaid,Y1,Low
2004,Gulbarga,1,256.3,40.0,Black,Basin,3.00,57.0,Coconut,64409,Zaid,Y1,Low
2004,Gulbarga,12362,256.3,40.0,Black,Basin,58637.00,54.0,Coconut,249978,Zaid,Y1,Low
2004,Gulbarga,12603,257.4,41.0,Black,Basin,59777.00,54.5,Coconut,637,Zaid,Y1,Low
2004,Gulbarga,12761,257.4,41.0,Black,Basin,60528.00,56.6,Coconut,43311,Zaid,Y1,Low
2004,Gulbarga,12887,257.4,41.0,Black,Basin,61126.00,55.5,Coconut,24848,Zaid,Y1,Low
2004,Gulbarga,13508,259.6,43.0,Black,Basin,73730.00,53.0,Coconut,646,Zaid,Y1,Low
2004,Gulbarga,1845,256.3,40.0,Loam,Spray,4904.00,57.0,Coconut,45186,Zaid,Y1,Low
2004,Gulbarga,1679,256.3,40.0,Loam,Spray,2821.00,57.5,Coconut,238542,Zaid,Y1,Low
2004,Gulbarga,1657,256.3,40.0,Loam,Spray,3472.00,57.0,Coconut,1516,Zaid,Y1,Low
2004,Gulbarga,1619,257.4,41.0,Loam,Spray,3647.00,55.0,Coconut,200000,Zaid,Y1,Low
2004,Gulbarga,1321,257.4,41.0,Loam,Spray,393.00,56.0,Coconut,4847,Zaid,Y1,Low
2004,Gulbarga,511,257.4,41.0,Red,Spray,167.00,54.0,Coconut,51239,Zaid,Y1,Low
2004,Gulbarga,156,259.6,43.0,Red,Spray,51.00,50.0,Coconut,203317,Zaid,Y1,Low
2004,Gulbarga,181,259.6,43.0,Red,Spray,61.00,54.0,Coconut,2134,Zaid,Y1,Low
2004,Gulbarga,33,359.7,134.0,Red,Drip,9.00,57.0,Coffee,64409,Zaid,Y1,Low
2005,Gulbarga,32,360.8,135.0,Red,Drip,12.00,57.0,Coffee,249978,Zaid,Y1,Low
2009,Madikeri,185,256.3,169.0,Black,Drip,2810.00,55.5,Pepper,4847,Kharif,Y1,Low
2004,Madikeri,9821,259.6,179.0,Alluvial,Basin,2628.00,57.0,Arecanut,200000,Kharif,Y1,Low
2004,Hassan,4,256.3,27.0,Red laterite,Spray,6589.00,57.0,Paddy,234581,Kharif,Y1,Low
2005,Hassan,35,257.4,27.0,Red laterite,Spray,5107.00,57.0,Paddy,646,Kharif,Y1,Low
2006,Hassan,5,257.4,27.0,Red laterite,Spray,5518.00,54.0,Paddy,43562,Kharif,Y1,Low
2007,Hassan,11,257.4,27.0,Red laterite,Spray,4912.00,54.5,Paddy,200000,Kharif,Y1,Low
2013,Gulbarga,185,353.1,128.0,Red,Drip,67.00,53.0,Cocoa,45186,Zaid,Y2,Low
2015,Gulbarga,111,355.3,130.0,Red,Drip,32.00,51.0,Cocoa,1516,Zaid,Y2,Low
2010,Madikeri,9830,256.3,170.0,Black,Drip,841.00,58.5,Pepper,51239,Kharif,Y2,Low
2011,Madikeri,46251,256.3,171.0,Black,Drip,3550.00,59.5,Pepper,216396,Kharif,Y2,Low
2012,Madikeri,159,257.4,172.0,Alluvial,Basin,109.00,55.0,Pepper,2644,Kharif,Y2,Low
2013,Madikeri,9651,257.4,173.0,Alluvial,Basin,3368.00,53.0,Pepper,44235,Kharif,Y2,Low
2014,Madikeri,46538,257.4,174.0,Alluvial,Basin,3671.00,53.5,Pepper,203317,Kharif,Y2,Low
2011,Hassan,8,259.6,27.0,Red laterite,Spray,1533.00,59.5,Paddy,2644,Kharif,Y2,Low
2012,Hassan,19,259.6,27.0,Red laterite,Spray,1647.00,55.0,Paddy,44235,Kharif,Y2,Low
2016,Gulbarga,74,356.4,131.0,Red,Drip,22.00,57.0,Cocoa,57259,Zaid,Y3,Low
2018,Gulbarga,16,358.6,133.0,Red,Drip,4.00,60.0,Cocoa,1493,Zaid,Y3,Low
2018,Madikeri,144,259.6,178.0,Alluvial,Basin,2088.00,57.5,Pepper,1516,Kharif,Y3,Low
2017,Hassan,5,256.3,222.0,Red laterite,Spray,864.00,57.0,Tea,761,Kharif,Y3,Low
2018,Hassan,14,256.3,27.0,Red laterite,Spray,5373.00,60.0,Tea,45608,Kharif,Y3,Low
2004,Mangalore,1151,3193.4,27.0,Alluvial,Drip,2570.00,57.0,Coconut,200000,Kharif,Y1,High
2004,Mangalore,11955,3193.4,27.0,Alluvial,Drip,27170.00,57.5,Coconut,4847,Kharif,Y1,High
2004,Mangalore,46907,3193.4,27.0,Alluvial,Drip,114744.00,57.0,Coconut,51239,Kharif,Y1,High
2004,Mangalore,653,3296.3,27.0,Alluvial,Drip,1402.00,55.0,Coconut,216396,Kharif,Y1,High
2004,Mangalore,11597,3296.3,27.0,Alluvial,Drip,23456.00,56.0,Coconut,2644,Kharif,Y1,High
2004,Mangalore,46061,3296.3,27.0,Alluvial,Drip,107809.00,54.0,Coconut,44235,Kharif,Y1,High
2004,Mangalore,421,3875.1,27.2,Alluvial,Drip,1132.00,58.0,Coconut,203317,Kharif,Y1,High
2004,Mangalore,10657,3875.1,27.2,Alluvial,Drip,23960.00,58.0,Coconut,2134,Kharif,Y1,High
2004,Mangalore,45878,3875.1,27.2,Alluvial,Drip,126487.00,59.0,Coconut,45186,Kharif,Y1,High
2004,Mangalore,185,4102.8,27.0,Alluvial,Drip,804.00,50.0,Coconut,238542,Kharif,Y1,High
2004,Mangalore,9830,4102.8,27.0,Alluvial,Drip,30362.00,54.0,Coconut,1516,Kharif,Y1,High
2004,Mangalore,46251,4102.8,27.0,Alluvial,Drip,124492.00,53.0,Coconut,57259,Kharif,Y1,High
2004,Mangalore,159,3020.8,27.0,Alluvial,Drip,792.00,52.0,Coconut,234779,Kharif,Y1,High
2004,Mangalore,9651,3020.8,27.0,Alluvial,Drip,34153.00,51.0,Coconut,1493,Kharif,Y1,High
2004,Kodagu,46538,3020.8,27.0,Alluvial,Drip,132551.00,57.0,Coconut,64409,Kharif,Y1,High
2004,Kodagu,131,3696.0,27.2,Alluvial,Drip,338.00,57.0,Coconut,249978,Kharif,Y1,High
2004,Kodagu,9819,3696.0,27.2,Alluvial,Drip,22966.00,60.0,Coconut,637,Kharif,Y1,High
2004,Kodagu,46220,3696.0,27.2,Alluvial,Drip,131763.00,57.0,Coconut,43311,Kharif,Y1,High
2004,Kodagu,144,3965.9,27.1,Alluvial,Drip,404.00,57.0,Coconut,24848,Kharif,Y1,High
2004,Kodagu,9821,3965.9,27.1,Alluvial,Drip,24184.00,54.0,Coconut,761,Kharif,Y1,High
2004,Kodagu,46218,3965.9,27.1,Alluvial,Drip,124387.00,54.5,Coconut,45608,Kharif,Y1,High
2004,Kodagu,128,3863.6,26.8,Alluvial,Drip,343.00,56.6,Coconut,234581,Kharif,Y1,High
2004,Kodagu,9455,3863.6,26.8,Alluvial,Drip,23099.00,55.5,Coconut,646,Kharif,Y1,High
2004,Kodagu,45936,3863.6,26.8,Alluvial,Drip,117825.84,58.5,Coconut,43562,Kharif,Y1,High
2004,Kodagu,139,3625.6,37.0,Alluvial,Drip,336.00,59.5,Coconut,200000,Kharif,Y1,High
2004,Kodagu,9286,3625.6,37.0,Alluvial,Drip,22594.00,55.0,Coconut,4847,Kharif,Y1,High
2004,Kodagu,43275,3625.6,37.0,Alluvial,Drip,116481.07,53.0,Coconut,51239,Kharif,Y1,High
2004,Kasaragodu,129,3905.0,38.0,Alluvial,Drip,316.00,53.5,Coconut,216396,Kharif,Y1,High
2004,Kasaragodu,8355,3905.0,38.0,Alluvial,Drip,21400.00,52.5,Coconut,2644,Kharif,Y1,High
2004,Kasaragodu,42480,3905.0,38.0,Alluvial,Drip,122102.00,56.0,Coconut,44235,Kharif,Y1,High
2004,Kasaragodu,142,4019.4,39.0,Alluvial,Drip,382.00,57.0,Coconut,203317,Kharif,Y1,High
2004,Kasaragodu,8084,4019.4,39.0,Alluvial,Drip,19578.00,57.5,Coconut,2134,Kharif,Y1,High
2004,Kasaragodu,42291,4019.4,39.0,Alluvial,Drip,121037.00,57.0,Coconut,45186,Kharif,Y1,High
2004,Kasaragodu,99,3415.5,42.0,Red,Drip,291.00,50.0,Coconut,249978,Kharif,Y1,High
2004,Kasaragodu,6142,3415.5,42.0,Red,Drip,17231.00,54.0,Coconut,637,Kharif,Y1,High
2004,Kasaragodu,38712,3415.5,42.0,Red,Drip,119359.00,53.0,Coconut,43311,Kharif,Y1,High
2004,Raichur,3611,3193.4,27.0,Red,Basin,7157.00,57.0,Coconut,45608,Kharif,Y1,High
2004,Raichur,4389,3193.4,27.0,Red,Basin,8700.00,57.0,Coconut,234581,Kharif,Y1,High
2004,Raichur,4437,3193.4,27.0,Red,Basin,41266.00,60.0,Coconut,646,Rabi,Y1,High
2004,Raichur,4459,3296.3,27.0,Red,Basin,8838.00,57.0,Coconut,43562,Rabi,Y1,High
2004,Raichur,4517,3296.3,27.0,Red,Basin,8954.00,57.0,Coconut,200000,Rabi,Y1,High
2004,Raichur,4614,3296.3,27.0,Red,Basin,42915.00,54.0,Coconut,4847,Rabi,Y1,High
2004,Raichur,4657,3875.1,27.2,Red,Basin,9230.00,54.5,Coconut,51239,Rabi,Y1,High
2004,Raichur,4765,3875.1,27.2,Red,Basin,44313.00,56.6,Coconut,216396,Rabi,Y1,High
2004,Raichur,4927,3875.1,27.2,Red,Basin,45820.00,55.5,Coconut,2644,Rabi,Y1,High
2004,Raichur,5278,4102.8,27.0,Red,Basin,49084.00,58.5,Coconut,44235,Rabi,Y1,High
2004,Raichur,6325,4102.8,27.0,Red,Basin,86311.00,59.5,Coconut,203317,Rabi,Y1,High
2004,Raichur,6663,4102.8,27.0,Red,Basin,57642.00,55.0,Coconut,2134,Rabi,Y1,High
2004,Raichur,6751,3020.8,27.0,Red,Basin,58405.00,53.0,Coconut,45186,Rabi,Y1,High
